TRAVEL_ID,LODGING_NM,LODGING_PAYMENT_SEQ,LODGING_TYPE_CD,RSVT_YN,CHK_IN_DT_MIN,CHK_OUT_DT_MIN,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
a_a000290,솔잎향캠핑파크,1,5,Y,2022-08-24 00:00:00.000,2022-08-25 00:00:00.000,4,,솔잎향캠핑파크,경기 시흥시 수인로2107번길 52,경기 시흥시 조남동 583-2,4397339.0,4139012400.0,,1.0,160000,글램핑(1)
a_a000805,고구마모텔,1,2,Y,2022-09-04 00:00:00.000,2022-09-06 00:00:00.000,1,1753400600.0,호텔고구마,서울 마포구 백범로4길 16,서울 마포구 노고산동 106-77,4139251.0,1144011000.0,2022-09-04 20:07:00.000,1.0,100000,
a_a012504,공군호텔,1,1,Y,2022-11-03 00:00:00.000,2022-11-04 00:00:00.000,1,1188300060.0,공군항공안전단,서울 영등포구 여의대방로 259,서울 영등포구 신길동 1196,3118028.0,1156013200.0,2022-11-03 16:39:00.000,1.0,36000,
a_a001356,호텔스카이파크 센트럴명동점,1,1,Y,2022-08-27 00:00:00.000,2022-08-28 00:00:00.000,1,,T-STAY센트럴명동점,,,,,2022-08-06 00:00:00.000,1.0,102460,센트럴명동점 스탠다드더블객실1박+미니바무료이용
a_a003139,스테이카키,1,7,Y,2022-09-24 00:00:00.000,2022-09-25 00:00:00.000,4,,스테이카키,서울 용산구 이태원로36길 19-8,서울 용산구 한남동 686-11,4106314.0,1117013100.0,2022-07-11 05:23:00.000,1.0,340000,1F/성인 4명
a_a002664,더마을펜션,1,3,Y,2022-09-23 00:00:00.000,2022-09-24 00:00:00.000,6,6318801233.0,주식회사더마을펜션,경기 가평군 청평면 모꼬지로 124-25,,3216051.0,4182032524.0,2022-08-15 14:56:00.000,1.0,388000,
a_a002445,XYM 월곶점,0,2,Y,2022-09-23 00:00:00.000,2022-09-24 00:00:00.000,2,,,경기 시흥시 월곶중앙로58번길 26,경기 시흥시 월곶동 1003-11,,,,5.0,35000,
a_a004418,예하도예 게스트하우스,1,7,Y,2022-10-07 00:00:00.000,2022-10-08 00:00:00.000,1,2208115770.0,나이스정보통신㈜,,,,,2022-10-05 00:00:00.000,1.0,41500,Yehadoye Guesthouse
a_a004071,호텔 동양장,0,1,Y,2022-09-29 00:00:00.000,2022-10-01 00:00:00.000,2,,,서울 종로구 종로58길 12,서울 종로구 숭인동 249,,,,1.0,72360,
a_a009429,호텔루시,0,1,Y,2022-10-23 00:00:00.000,2022-10-24 00:00:00.000,2,,,경기 하남시 하남대로776번길 14-30,경기 하남시 신장동 519-9,,,,1.0,25000,
a_a002114,수목원프로방스,1,5,Y,2022-09-11 00:00:00.000,2022-09-12 00:00:00.000,4,,수목원프로,,,,,2022-09-01 09:52:00.000,3.0,70000,스목원프로../C존데크4
a_a000933,숙소,0,11,N,2022-08-19 00:00:00.000,2022-08-20 00:00:00.000,4,,,,,,,,,0,
a_a003164,새싹동산 청려수련원,0,5,Y,2022-10-01 00:00:00.000,2022-10-03 00:00:00.000,4,,,경기 화성시 풀무골로110번길 69,경기 화성시 중동 273-2,,,,1.0,110000,
a_a004606,새와참새,0,5,Y,2022-10-02 00:00:00.000,2022-10-03 00:00:00.000,2,,,,경기 가평군 설악면 엄소리 47,,,,5.0,50000,
a_a006096,상아골계곡오토캠핑장,1,5,Y,2022-10-29 00:00:00.000,2022-10-30 00:00:00.000,4,,상아골계곡 오토캠핑장,경기 포천시 신북면 탑신로 1130,경기 포천시 신북면 금동리 247-1,3012029.0,4165034031.0,2022-10-04 00:00:00.000,1.0,60000,캠핑장
